Date;VIX;SMB;HML;MKT;MOM;STR;RVAR;BAB;QMJ;TERM_SPREAD;CREDIT_SPREAD;10Y;3M;OIL;DOLLAR;TED;SKEW;LEVERAGE;TSMOM;MOMCM;MOMEQ;MOMFI;MOMFX;HMLD;ECU;MACVOL;BULL;NEUT;BEAR;BULL_BEAR_SPREAD;BULL_BEAR_RATIO;MOV_AVG_BULL;SP500;HURST
31/01/1991;20,91;2,4;-0,05;4,27;-2,63;-1,93;7,58;-6,408517984;-0,930619145;1,66;2,3;7,85;6,19;-24,26160338;-0,49821046;0,87;121,65;-0,19775;-0,332949367;0,292077153;-3,01274521;-6,685653514;3,811538721;1,133096452;100,44;0,768522751;25,8;30;44,2;-18,4;0,622703081;25,75;343,93;0,686843359
28/02/1991;21,23;4,24;-0,84;7,18;-2,21;1,93;9,69;1,485401486;-3,276519813;1,8;2,09;8,11;6,04;-11,04921077;1,402249349;0,84;116,37;-0,35716;-2,146323573;2,722142442;-13,55927279;-5,069421616;-0,239172666;2,990013559;175,69;0,925312139;47,25;24;28,75;18,5;1,739356884;35,875;367,07;0,688628808
29/03/1991;16,88;4,34;-3;2,44;3,17;0,52;5,64;1,171304909;-0,593564795;2,13;1,96;8,04;5,74;2,45302714;4,550959434;0,63;105,67;-0,4502;-1,896750011;-1,333915305;-3,501071197;-2,166525612;-1,496679166;-0,996616178;46,51;1,010975479;48,5;25,5;26;22,5;1,887749459;47,875;375,22;0,723711694
30/04/1991;18,24;-0,05;1,25;-0,17;-1,17;1,57;-1,17;4,7906502;0,066961085;2,34;1,83;8,07;5,51;6,775343861;-0,130261302;0,68;109,06;-0,45169;3,352799203;4,810499687;-1,497843876;2,971506412;4,815475902;0,854630289;254,81;1,003311901;48,75;30,25;21;27,75;2,407005348;48,625;375,35;0,72640133
31/05/1991;15,93;-0,07;-0,01;3,59;0,5;0,08;-2,78;1,243777209;-0,406176852;2,35;1,77;8,28;5,53;0,811068702;0,839786283;0,53;117,2;-0,39987;-0,755614048;-0,338007134;-2,476454225;1,570968663;-1,712050581;-0,637373783;114,99;0,945728314;39,8;34,6;25,6;14,2;1,568729097;42;389,83;0,712233086
28/06/1991;19,55;0,75;0,57;-4,71;0,01;2,06;-4,23;2,598090525;2,336600153;2,53;1,66;8,27;5,54;-2,69758637;1,403600747;0,65;114,98;-0,34147;0,865432143;1,254182067;7,373358653;-7,333770227;0,802705635;1,422364383;83,55;0,886613368;41,25;36,25;22,5;18,75;2,098061497;40,625;371,16;0,674488998
31/07/1991;15,18;-0,78;-2,54;3,99;4,66;2,13;-0,53;0,42482379;0,096638358;2,5;1,6;7,9;5,53;5,447470817;-0,677183684;0,53;111,5;-0,28184;-2,522082432;-3,879129567;-1,71317773;2,19444495;-3,898280062;-2,359373772;259,33;0,780131872;32,75;42,75;24,5;8,25;1,411874177;37;387,81;0,643684934
30/08/1991;14,46;1,17;-1,66;2,17;2,81;-2,92;2,22;1,244269959;-0,025070656;2,33;1,75;7,65;5,33;2,675276753;-0,028301699;0,36;115,36;-0,21068;3,447045161;0,617643168;2,603544993;12,39574697;3,06532257;-1,733973042;108,68;0,685146655;33,8;38;28,2;5,6;1,270459185;34;395,43;0,664326609
30/09/1991;15,85;1,85;-0,77;-1,7;1,91;-0,76;-1,92;2,733385457;-1,108151651;2,21;1,94;7,53;5,11;-0,134770889;-1,892482847;0,51;112,13;-0,18062;2,553057217;-0,498501372;-2,127155742;17,37917293;1,519367328;-0,410305782;145,93;0,64082064;35,5;39;25,5;10;1,519949495;34,75;387,86;0,657784066
31/10/1991;15,48;0,96;-0,26;1,45;2,28;-1,18;0,89;2,181305722;-0,75778543;2,51;2,02;7,42;4,82;5,128205128;0,322053953;0,43;109,63;-0,19126;0,632395239;-3,739759031;0,903737663;8,149305604;3,068884817;-0,672112977;111,26;0,670284168;37,4;29,2;33,4;4;1,155613831;36,625;392,46;0,655584704
29/11/1991;20,26;-0,35;-2,18;-4,16;0,67;-0,4;-5,41;2,672828231;3,36662024;2,91;2,06;7,09;4,35;-8,087291399;-0,167520167;0,65;110,22;-0,24616;0,002892025;4,277296437;-6,823814331;1,53888336;-3,381280151;-1,228663967;296,7;0,682982687;37,75;32;30,25;7,5;1,383836207;37,875;375,22;0,626395959
31/12/1991;19,31;-2,99;-5,33;10,03;8,3;1,06;-1,29;-2,9477554;1,722593247;2,75;2,39;7,03;3,88;-10,98696462;-1,796443598;0,37;113,55;-0,32114;7,506266167;10,8849968;6,084914448;22,00746137;-7,007962123;-7,183597651;189,76;0,675593659;32,75;31,75;35,5;-2,75;0,963300192;35,25;417,09;0,469466773
31/01/1992;17,4;8,16;3,84;-0,68;-1,03;5,22;19,04;4,9242326;-4,394683832;3,37;1,9;7,34;3,84;-1,150627615;2,108242787;0,35;110,93;-0,41901;-1,555164621;-2,071991646;3,751002148;-6,94188038;-0,996129646;4,48321717;112,98;0,638024013;48,2;23,8;28;20,2;1,729804274;43,625;408,79;0,520883185
